facility_name,facility_id,state,measure_id,score,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,start_date,end_date,footnote,risk_band,condition
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,0.9704,11.875,12.2373,315.0,36.0,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,1.0846,12.3902,11.4233,91.0,14.0,2020-07-01,2023-06-30,,High,CABG
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,1.0112,16.7862,16.6008,621.0,105.0,2020-07-01,2023-06-30,,Elevated,Pneumonia
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,0.9762,4.7872,4.9039,,,2020-07-01,2023-06-30,,Moderate,Hip/Knee Replacement
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,1.0277,17.8169,17.3362,,,2020-07-01,2023-06-30,,Elevated,COPD
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,1.0674,21.0944,19.7621,35.0,12.0,2020-07-01,2023-06-30,,High,Heart Failure
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,0.9695,4.2361,4.3694,,,2020-07-01,2023-06-30,,Moderate,Hip/Knee Replacement
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,1.0488,16.2187,15.4636,85.0,17.0,2020-07-01,2023-06-30,,High,Pneumonia
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,1,,Heart Failure
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,,,,,,2020-07-01,2023-06-30,1,,Pneumonia
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,1.012,17.7252,17.5152,58.0,11.0,2020-07-01,2023-06-30,,Elevated,COPD
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,0.9675,11.8541,12.2521,148.0,16.0,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,0.9541,5.0175,5.2587,,,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,1.0589,17.1812,16.2255,344.0,63.0,2020-07-01,2023-06-30,,High,Pneumonia
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,1.0439,20.3295,19.474,295.0,63.0,2020-07-01,2023-06-30,,High,Heart Failure
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,1.1146,11.9953,10.7622,70.0,12.0,2020-07-01,2023-06-30,,High,CABG
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,0.9055,3.5711,3.9437,,,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,1.0505,19.7116,18.7646,84.0,20.0,2020-07-01,2023-06-30,,High,Heart Failure
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,0.9685,13.8098,14.2595,160.0,20.0,2020-07-01,2023-06-30,,Moderate,Pneumonia
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,1.0044,13.3991,13.3406,,,2020-07-01,2023-06-30,,Elevated,COPD
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,1.0125,11.2791,11.1395,,,2020-07-01,2023-06-30,,Elevated,Acute Myocardial Infarction
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,1.0434,17.3446,16.6237,214.0,40.0,2020-07-01,2023-06-30,,High,Pneumonia
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,1.0792,12.1319,11.2418,,,2020-07-01,2023-06-30,,High,CABG
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,0.9794,19.4001,19.808,,,2020-07-01,2023-06-30,,Moderate,COPD
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,1.1477,5.9146,5.1535,,,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,1.0005,20.5099,20.5005,229.0,47.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,1.0186,14.4337,14.1707,77.0,12.0,2020-07-01,2023-06-30,,Elevated,Acute Myocardial Infarction
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,,,,,,2020-07-01,2023-06-30,5,,Pneumonia
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,5,,Heart Failure
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,5,,COPD
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,5,,Acute Myocardial Infarction
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,0.9039,3.0913,3.4198,,,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,0.9294,17.7522,19.1001,254.0,40.0,2020-07-01,2023-06-30,,Low,Heart Failure
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,1.0188,17.2095,16.8912,162.0,29.0,2020-07-01,2023-06-30,,Elevated,COPD
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,1.0441,15.3127,14.6665,236.0,39.0,2020-07-01,2023-06-30,,High,Pneumonia
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,0.9912,17.8648,18.0228,,,2020-07-01,2023-06-30,,Moderate,COPD
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,1.058,15.7295,14.8668,65.0,14.0,2020-07-01,2023-06-30,,High,Pneumonia
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,1.0522,21.5293,20.4608,34.0,11.0,2020-07-01,2023-06-30,,High,Heart Failure
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,5,,Acute Myocardial Infarction
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,0.9728,14.0753,14.4685,,,2020-07-01,2023-06-30,,Moderate,Pneumonia
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,1,,Heart Failure
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,1.038,21.0958,20.324,305.0,67.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,1.1302,11.752,10.3983,,,2020-07-01,2023-06-30,,High,CABG
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,1.0023,17.0171,16.9786,146.0,25.0,2020-07-01,2023-06-30,,Elevated,Pneumonia
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,0.9825,18.7156,19.049,70.0,12.0,2020-07-01,2023-06-30,,Moderate,COPD
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,1.0708,5.3868,5.0306,,,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,1.0485,14.286,13.6247,194.0,30.0,2020-07-01,2023-06-30,,High,Acute Myocardial Infarction
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,1.0422,17.2334,16.5361,233.0,43.0,2020-07-01,2023-06-30,,Elevated,Pneumonia
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,1,,Hip/Knee Replacement
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,0.9257,10.5183,11.3627,,,2020-07-01,2023-06-30,,Low,CABG
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,1.0036,19.3075,19.2384,325.0,63.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,0.9693,17.6207,18.1793,79.0,12.0,2020-07-01,2023-06-30,,Moderate,COPD
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,0.9784,14.4231,14.7409,146.0,20.0,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-PN-HRRP,0.905,13.3222,14.7207,,,2020-07-01,2023-06-30,,Low,Pneumonia
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HF-HRRP,1.0648,19.9011,18.6901,179.0,40.0,2020-07-01,2023-06-30,,High,Heart Failure
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-COPD-HRRP,0.9654,18.7893,19.4632,,,2020-07-01,2023-06-30,,Moderate,COPD
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-AMI-HRRP,1.0742,11.692,10.884,66.0,11.0,2020-07-01,2023-06-30,,High,Acute Myocardial Infarction
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-CABG-HRRP,1.0358,10.1365,9.7862,,,2020-07-01,2023-06-30,,Elevated,CABG
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HIP-KNEE-HRRP,0.9304,4.1957,4.5094,284.0,11.0,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,1.1073,18.0778,16.3256,365.0,73.0,2020-07-01,2023-06-30,,High,Pneumonia
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,0.9857,19.4171,19.6981,154.0,29.0,2020-07-01,2023-06-30,,Moderate,COPD
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,1.0866,12.5237,11.5254,353.0,47.0,2020-07-01,2023-06-30,,High,CABG
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,1.1,15.6982,14.2709,289.0,50.0,2020-07-01,2023-06-30,,High,Acute Myocardial Infarction
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,1.125,9.5878,8.5228,,,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,0.9451,18.8084,19.9019,675.0,123.0,2020-07-01,2023-06-30,,Low,Heart Failure
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,1,,Heart Failure
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,,,,,,2020-07-01,2023-06-30,1,,Pneumonia
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,1.0057,4.5902,4.5641,,,2020-07-01,2023-06-30,,Elevated,Hip/Knee Replacement
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,1.018,18.7366,18.4048,367.0,70.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,0.9979,12.4436,12.4695,,,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,1.0465,15.5805,14.888,417.0,68.0,2020-07-01,2023-06-30,,High,Pneumonia
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,1.0458,18.5561,17.7427,120.0,25.0,2020-07-01,2023-06-30,,High,COPD
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,1.0138,16.0281,15.8097,144.0,24.0,2020-07-01,2023-06-30,,Elevated,Pneumonia
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,1.2033,5.9589,4.9522,,,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,1.0267,22.0685,21.4955,159.0,37.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,0.9661,20.3127,21.0259,,,2020-07-01,2023-06-30,,Moderate,COPD
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,0.8656,8.4711,9.7862,267.0,18.0,2020-07-01,2023-06-30,,Low,CABG
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,1.2959,6.3147,4.8727,168.0,14.0,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,0.9251,10.9967,11.8866,624.0,65.0,2020-07-01,2023-06-30,,Low,Acute Myocardial Infarction
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,1.0004,17.3653,17.3585,426.0,74.0,2020-07-01,2023-06-30,,Elevated,COPD
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,0.9728,15.0627,15.4836,1340.0,200.0,2020-07-01,2023-06-30,,Moderate,Pneumonia
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,0.9752,19.115,19.6017,1270.0,241.0,2020-07-01,2023-06-30,,Moderate,Heart Failure
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,0.9714,16.5879,17.0766,235.0,37.0,2020-07-01,2023-06-30,,Moderate,Pneumonia
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,0.9817,13.5491,13.8013,132.0,17.0,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,0.9818,21.4155,21.8117,235.0,49.0,2020-07-01,2023-06-30,,Moderate,Heart Failure
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,1.0777,11.6737,10.8319,,,2020-07-01,2023-06-30,,High,CABG
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,0.9886,18.2568,18.4675,97.0,17.0,2020-07-01,2023-06-30,,Moderate,COPD
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,1.0242,6.1477,6.0027,,,2020-07-01,2023-06-30,,Elevated,Hip/Knee Replacement
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,0.9562,17.2586,18.0484,,,2020-07-01,2023-06-30,,Low,Heart Failure
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,0.9492,14.5598,15.339,,,2020-07-01,2023-06-30,,Low,Pneumonia
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,0.9855,16.3397,16.5804,,,2020-07-01,2023-06-30,,Moderate,Heart Failure
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,,,,0.0,,2020-07-01,2023-06-30,7,,Acute Myocardial Infarction
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,0.9883,13.2847,13.4426,,,2020-07-01,2023-06-30,,Moderate,Pneumonia
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,1.0488,16.6064,15.8337,,,2020-07-01,2023-06-30,,High,COPD
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,1.0925,24.1014,22.0606,284.0,75.0,2020-07-01,2023-06-30,,High,Heart Failure
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,1,,Hip/Knee Replacement
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,1.048,19.5145,18.6208,103.0,23.0,2020-07-01,2023-06-30,,High,COPD
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,1,,CABG
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,0.9659,14.4405,14.9503,,,2020-07-01,2023-06-30,,Moderate,Acute Myocardial Infarction
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,1.0904,18.7699,17.2133,277.0,58.0,2020-07-01,2023-06-30,,High,Pneumonia
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,1.0285,18.698,18.1807,102.0,21.0,2020-07-01,2023-06-30,,Elevated,Heart Failure
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,0.89,3.7537,4.2178,,,2020-07-01,2023-06-30,,Low,Hip/Knee Replacement
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,1.0465,15.1301,14.4573,152.0,26.0,2020-07-01,2023-06-30,,High,Pneumonia
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,1.0438,17.6314,16.8909,59.0,13.0,2020-07-01,2023-06-30,,High,COPD
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,1,,Acute Myocardial Infarction
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,,,,0.0,,2020-07-01,2023-06-30,7,,Pneumonia
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,,,,,,2020-07-01,2023-06-30,5,,Acute Myocardial Infarction
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,1,,Heart Failure
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,,,,,,2020-07-01,2023-06-30,5,,Hip/Knee Replacement
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,,,,,,2020-07-01,2023-06-30,1,,Heart Failure
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,1.0435,16.5639,15.8735,,,2020-07-01,2023-06-30,,High,Pneumonia
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,,,,,,2020-07-01,2023-06-30,5,,CABG
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,,,,0.0,,2020-07-01,2023-06-30,7,,Acute Myocardial Infarction
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,,,,,,2020-07-01,2023-06-30,1,,COPD
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,1.0004,15.402,15.3965,305.0,47.0,2020-07-01,2023-06-30,,Elevated,Pneumonia
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,1.1755,12.6626,10.7725,84.0,16.0,2020-07-01,2023-06-30,,High,CABG
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,1.2633,5.6766,4.4937,,,2020-07-01,2023-06-30,,High,Hip/Knee Replacement
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,0.9486,18.4986,19.5012,126.0,20.0,2020-07-01,2023-06-30,,Low,COPD
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,0.9641,18.3209,19.0039,325.0,57.0,2020-07-01,2023-06-30,,Moderate,Heart Failure
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,1.0867,12.9663,11.9315,263.0,38.0,2020-07-01,2023-06-30,,High,Acute Myocardial Infarction
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,1.0215,12.6646,12.3975,150.0,20.0,2020-07-01,2023-06-30,,Elevated,Acute Myocardial Infarction
