facility_name,facility_id,state,condition,measure_id,score,predicted_readmission_rate,expected_readmission_rate,number_of_discharges,number_of_readmissions,readmit_rate_calc,delta_pred_exp,ratio_pred_exp,risk_band,high_risk,low_risk,volume_band,score_z_condition,score_z_state,start_date,end_date,period_days,period_years,footnote
MARSHALL MEDICAL CENTERS,010005,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
MARSHALL MEDICAL CENTERS,010005,AL,COPD,READM-30-COPD-HRRP,15.5737,15.5737,17.909,144.0,14.0,0.09722222222222222,-2.3352999999999984,0.8696018761516556,Moderate,1,0,Medium Volume,-1.283216677384942,0.19587304093920502,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,COPD,READM-30-COPD-HRRP,17.788,17.788,18.7982,154.0,24.0,0.15584415584415584,-1.010200000000001,0.9462608122054239,Elevated,1,0,Medium Volume,-0.24302136841821267,0.6774718178710817,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,Heart Failure,READM-30-HF-HRRP,19.1704,19.1704,19.8318,508.0,95.0,0.18700787401574803,-0.6614000000000004,0.9666495224840912,High,1,0,High Volume,-0.15013024347072476,0.9781366551698337,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,Acute MI,READM-30-AMI-HRRP,11.875,11.875,12.2373,315.0,36.0,0.11428571428571428,-0.3622999999999994,0.9703937960170953,Low,1,0,High Volume,-0.8329179791498592,-0.6085750447935018,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,CABG,READM-30-CABG-HRRP,12.3902,12.3902,11.4233,91.0,14.0,0.15384615384615385,0.9669000000000008,1.0846427914875738,Low,1,0,Low Volume,1.1576366266112956,-0.49652171422614283,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,Pneumonia,READM-30-PN-HRRP,16.7862,16.7862,16.6008,621.0,105.0,0.16908212560386474,0.18540000000000134,1.0111681364753506,Elevated,1,0,High Volume,0.4207838982235073,0.4595855085496917,2020-07-01,2023-06-30,1094,2.9952087611225187,
NORTH ALABAMA MEDICAL CENTER,010006,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.7872,4.7872,4.9039,,,,-0.1166999999999998,0.9762026142458043,Low,1,0,,-0.21740596746027185,-2.150134820405549,2020-07-01,2023-06-30,1094,2.9952087611225187,
MIZELL MEMORIAL HOSPITAL,010007,AL,COPD,READM-30-COPD-HRRP,17.8169,17.8169,17.3362,,,,0.4806999999999988,1.0277281065054624,Elevated,1,0,,-0.22944522948982057,0.6837574181300038,2020-07-01,2023-06-30,1094,2.9952087611225187,
MIZELL MEMORIAL HOSPITAL,010007,AL,Heart Failure,READM-30-HF-HRRP,21.0944,21.0944,19.7621,35.0,12.0,0.34285714285714286,1.3323,1.0674169243147236,High,1,0,Low Volume,0.8323655190278785,1.396596686248247,2020-07-01,2023-06-30,1094,2.9952087611225187,
MIZELL MEMORIAL HOSPITAL,010007,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.2361,4.2361,4.3694,,,,-0.1332999999999993,0.9694923788163136,Low,1,0,,-0.6861625021593755,-2.2699962149623647,2020-07-01,2023-06-30,1094,2.9952087611225187,
MIZELL MEMORIAL HOSPITAL,010007,AL,Pneumonia,READM-30-PN-HRRP,16.2187,16.2187,15.4636,85.0,17.0,0.2,0.7550999999999988,1.048830802659148,Elevated,1,0,Low Volume,0.1269844153266794,0.33615719896705104,2020-07-01,2023-06-30,1094,2.9952087611225187,
MIZELL MEMORIAL HOSPITAL,010007,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
MIZELL MEMORIAL HOSPITAL,010007,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CRENSHAW COMMUNITY HOSPITAL,010008,AL,COPD,READM-30-COPD-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Heart Failure,READM-30-HF-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
CRENSHAW COMMUNITY HOSPITAL,010008,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Pneumonia,READM-30-PN-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
CRENSHAW COMMUNITY HOSPITAL,010008,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
ST. VINCENT'S EAST,010011,AL,COPD,READM-30-COPD-HRRP,17.7252,17.7252,17.5152,58.0,11.0,0.1896551724137931,0.21000000000000085,1.0119895861879968,Elevated,1,0,Low Volume,-0.27252245923838603,0.6638131432599985,2020-07-01,2023-06-30,1094,2.9952087611225187,
ST. VINCENT'S EAST,010011,AL,Acute MI,READM-30-AMI-HRRP,11.8541,11.8541,12.2521,148.0,16.0,0.10810810810810811,-0.3979999999999997,0.9675157728062944,Low,1,0,Medium Volume,-0.8432757855971015,-0.6131206865032411,2020-07-01,2023-06-30,1094,2.9952087611225187,
ST. VINCENT'S EAST,010011,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,5.0175,5.0175,5.2587,,,,-0.24120000000000008,0.9541331507787095,Low,1,0,,-0.021516600845858047,-2.100045763670955,2020-07-01,2023-06-30,1094,2.9952087611225187,
ST. VINCENT'S EAST,010011,AL,Pneumonia,READM-30-PN-HRRP,17.1812,17.1812,16.2255,344.0,63.0,0.18313953488372092,0.9557000000000002,1.0589011124464578,Elevated,1,0,High Volume,0.6252786924864966,0.5454959619155821,2020-07-01,2023-06-30,1094,2.9952087611225187,
ST. VINCENT'S EAST,010011,AL,Heart Failure,READM-30-HF-HRRP,20.3295,20.3295,19.474,295.0,63.0,0.2135593220338983,0.8554999999999993,1.0439303686967238,High,1,0,High Volume,0.44176728163952994,1.2302348994645262,2020-07-01,2023-06-30,1094,2.9952087611225187,
ST. VINCENT'S EAST,010011,AL,CABG,READM-30-CABG-HRRP,11.9953,11.9953,10.7622,70.0,12.0,0.17142857142857143,1.2331000000000003,1.1145769452342458,Low,1,0,Low Volume,0.8901752888831155,-0.5824104181101685,2020-07-01,2023-06-30,1094,2.9952087611225187,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,3.5711,3.5711,3.9437,,,,-0.37260000000000026,0.9055201967695311,Low,1,0,,-1.251800490863611,-2.4146302693631676,2020-07-01,2023-06-30,1094,2.9952087611225187,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Heart Failure,READM-30-HF-HRRP,19.7116,19.7116,18.7646,84.0,20.0,0.23809523809523808,0.9469999999999992,1.050467369408354,High,1,0,Low Volume,0.12623498868324826,1.095844851022036,2020-07-01,2023-06-30,1094,2.9952087611225187,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Pneumonia,READM-30-PN-HRRP,13.8098,13.8098,14.2595,160.0,20.0,0.125,-0.4497,0.9684631298432624,Moderate,1,0,Medium Volume,-1.120123204673612,-0.18776606967369208,2020-07-01,2023-06-30,1094,2.9952087611225187,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,COPD,READM-30-COPD-HRRP,13.3991,13.3991,13.3406,,,,0.05850000000000044,1.0043851101149874,Moderate,1,0,,-2.3047624114223577,-0.2770911916923531,2020-07-01,2023-06-30,1094,2.9952087611225187,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,Acute MI,READM-30-AMI-HRRP,11.2791,11.2791,11.1395,,,,0.13959999999999972,1.0125319807890838,Low,1,0,,-1.1282393601025806,-0.7381802072257402,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Pneumonia,READM-30-PN-HRRP,17.3446,17.3446,16.6237,214.0,40.0,0.18691588785046728,0.7209000000000003,1.0433657970247299,Elevated,1,0,Medium Volume,0.709872235227186,0.5810346152826364,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,CABG,READM-30-CABG-HRRP,12.1319,12.1319,11.2418,,,,0.8901000000000003,1.0791777117543455,Low,1,0,,0.9826929357143874,-0.5527006258828758,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,COPD,READM-30-COPD-HRRP,19.4001,19.4001,19.808,,,,-0.4079000000000015,0.9794073101777059,High,1,0,,0.5142829072378694,1.0280952150132383,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,5.9146,5.9146,5.1535,,,,0.7610999999999999,1.1476860386145338,Low,1,0,,0.74154180466778,-1.904931161861992,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Heart Failure,READM-30-HF-HRRP,20.5099,20.5099,20.5005,229.0,47.0,0.2052401746724891,0.009399999999999409,1.0004585254018195,High,1,0,Medium Volume,0.5338890256908537,1.2694709647485933,2020-07-01,2023-06-30,1094,2.9952087611225187,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,Acute MI,READM-30-AMI-HRRP,14.4337,14.4337,14.1707,77.0,12.0,0.15584415584415584,0.2629999999999999,1.0185594219057632,Moderate,1,0,Low Volume,0.43514514795825876,-0.0520710523193145,2020-07-01,2023-06-30,1094,2.9952087611225187,
CALLAHAN EYE HOSPITAL,010018,AL,Pneumonia,READM-30-PN-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CALLAHAN EYE HOSPITAL,010018,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CALLAHAN EYE HOSPITAL,010018,AL,Heart Failure,READM-30-HF-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CALLAHAN EYE HOSPITAL,010018,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CALLAHAN EYE HOSPITAL,010018,AL,COPD,READM-30-COPD-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CALLAHAN EYE HOSPITAL,010018,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
HELEN KELLER HOSPITAL,010019,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,3.0913,3.0913,3.4198,,,,-0.3285,0.9039417509795894,Low,1,0,,-1.6599104261723208,-2.5189842833503935,2020-07-01,2023-06-30,1094,2.9952087611225187,
HELEN KELLER HOSPITAL,010019,AL,Heart Failure,READM-30-HF-HRRP,17.7522,17.7522,19.1001,254.0,40.0,0.15748031496062992,-1.3479000000000028,0.9294296888497965,Elevated,1,0,Medium Volume,-0.8743378788010375,0.6696855033634892,2020-07-01,2023-06-30,1094,2.9952087611225187,
HELEN KELLER HOSPITAL,010019,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
HELEN KELLER HOSPITAL,010019,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
HELEN KELLER HOSPITAL,010019,AL,COPD,READM-30-COPD-HRRP,17.2095,17.2095,16.8912,162.0,29.0,0.17901234567901234,0.31829999999999714,1.0188441318556407,Elevated,1,0,Medium Volume,-0.5147790282823932,0.5516510652833151,2020-07-01,2023-06-30,1094,2.9952087611225187,
HELEN KELLER HOSPITAL,010019,AL,Pneumonia,READM-30-PN-HRRP,15.3127,15.3127,14.6665,236.0,39.0,0.1652542372881356,0.6462000000000003,1.044059591586268,Moderate,1,0,Medium Volume,-0.34205934062842996,0.13910689327212272,2020-07-01,2023-06-30,1094,2.9952087611225187,
DALE MEDICAL CENTER,010021,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
DALE MEDICAL CENTER,010021,AL,COPD,READM-30-COPD-HRRP,17.8648,17.8648,18.0228,,,,-0.15800000000000125,0.9912333266751003,Elevated,1,0,,-0.20694360130054865,0.6941754199432343,2020-07-01,2023-06-30,1094,2.9952087611225187,
DALE MEDICAL CENTER,010021,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
DALE MEDICAL CENTER,010021,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
DALE MEDICAL CENTER,010021,AL,Pneumonia,READM-30-PN-HRRP,15.7295,15.7295,14.8668,65.0,14.0,0.2153846153846154,0.8627000000000002,1.0580286275459414,Moderate,1,0,Low Volume,-0.12627850455548298,0.22975873368453584,2020-07-01,2023-06-30,1094,2.9952087611225187,
DALE MEDICAL CENTER,010021,AL,Heart Failure,READM-30-HF-HRRP,21.5293,21.5293,20.4608,34.0,11.0,0.3235294117647059,1.0685000000000002,1.0522218095089146,High,1,0,Low Volume,1.0544483709564865,1.4911851828781855,2020-07-01,2023-06-30,1094,2.9952087611225187,
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,Pneumonia,READM-30-PN-HRRP,14.0753,14.0753,14.4685,,,,-0.3932000000000002,0.9728237204962504,Moderate,1,0,,-0.9826716404284881,-0.13002119532269454,2020-07-01,2023-06-30,1094,2.9952087611225187,
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,Heart Failure,READM-30-HF-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,COPD,READM-30-COPD-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Heart Failure,READM-30-HF-HRRP,21.0958,21.0958,20.324,305.0,67.0,0.21967213114754097,0.7717999999999989,1.03797480810864,High,1,0,High Volume,0.8330804327843745,1.396901178994354,2020-07-01,2023-06-30,1094,2.9952087611225187,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,CABG,READM-30-CABG-HRRP,11.752,11.752,10.3983,,,,1.3537,1.13018474173663,Low,1,0,,0.725390929629466,-0.635326907487184,2020-07-01,2023-06-30,1094,2.9952087611225187,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Pneumonia,READM-30-PN-HRRP,17.0171,17.0171,16.9786,146.0,25.0,0.17123287671232876,0.03849999999999909,1.002267560340664,Elevated,1,0,Medium Volume,0.5403227539078717,0.5098050621754739,2020-07-01,2023-06-30,1094,2.9952087611225187,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,COPD,READM-30-COPD-HRRP,18.7156,18.7156,19.049,70.0,12.0,0.17142857142857143,-0.33340000000000103,0.9824977689117539,High,1,0,Low Volume,0.19273041254982978,0.8792200116488028,2020-07-01,2023-06-30,1094,2.9952087611225187,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,5.3868,5.3868,5.0306,,,,0.3562000000000003,1.070806663221087,Low,1,0,,0.292603864159366,-2.019724927144314,2020-07-01,2023-06-30,1094,2.9952087611225187,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,Acute MI,READM-30-AMI-HRRP,14.286,14.286,13.6247,194.0,30.0,0.15463917525773196,0.6612999999999989,1.0485368485177655,Moderate,1,0,Medium Volume,0.3619466784722426,-0.0841950370335982,2020-07-01,2023-06-30,1094,2.9952087611225187,
JACKSON HOSPITAL & CLINIC INC,010024,AL,Pneumonia,READM-30-PN-HRRP,17.2334,17.2334,16.5361,233.0,43.0,0.18454935622317598,0.6972999999999985,1.0421683468290588,Elevated,1,0,Medium Volume,0.6523030678296051,0.5568491914489984,2020-07-01,2023-06-30,1094,2.9952087611225187,
JACKSON HOSPITAL & CLINIC INC,010024,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
JACKSON HOSPITAL & CLINIC INC,010024,AL,CABG,READM-30-CABG-HRRP,10.5183,10.5183,11.3627,,,,-0.8444000000000003,0.9256866765821503,Low,1,0,,-0.11018023358971878,-0.9036502652530046,2020-07-01,2023-06-30,1094,2.9952087611225187,
JACKSON HOSPITAL & CLINIC INC,010024,AL,Heart Failure,READM-30-HF-HRRP,19.3075,19.3075,19.2384,325.0,63.0,0.19384615384615383,0.06910000000000238,1.003591774783766,High,1,0,High Volume,-0.08011976060245099,1.0079551948064505,2020-07-01,2023-06-30,1094,2.9952087611225187,
JACKSON HOSPITAL & CLINIC INC,010024,AL,COPD,READM-30-COPD-HRRP,17.6207,17.6207,18.1793,79.0,12.0,0.1518987341772152,-0.558600000000002,0.969272744275082,Elevated,1,0,Low Volume,-0.32161265017322993,0.6410849347113006,2020-07-01,2023-06-30,1094,2.9952087611225187,
JACKSON HOSPITAL & CLINIC INC,010024,AL,Acute MI,READM-30-AMI-HRRP,14.4231,14.4231,14.7409,146.0,20.0,0.136986301369863,-0.3178000000000001,0.9784409364421439,Moderate,1,0,Medium Volume,0.42989190641085334,-0.054376497396981464,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,Pneumonia,READM-30-PN-HRRP,13.3222,13.3222,14.7207,,,,-1.3985000000000003,0.9049977242930024,Moderate,1,0,,-1.3725577912119244,-0.2938165432463708,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,Heart Failure,READM-30-HF-HRRP,19.9011,19.9011,18.6901,179.0,40.0,0.22346368715083798,1.2109999999999985,1.0647936608150839,High,1,0,Medium Volume,0.2230036721517952,1.1370601191557985,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,COPD,READM-30-COPD-HRRP,18.7893,18.7893,19.4632,,,,-0.6738999999999997,0.965375683340869,High,1,0,,0.22735191563019397,0.895249379783148,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,Acute MI,READM-30-AMI-HRRP,11.692,11.692,10.884,66.0,11.0,0.16666666666666666,0.8079999999999998,1.0742374127159133,Low,1,0,Low Volume,-0.9236107341663854,-0.6483765966060535,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,CABG,READM-30-CABG-HRRP,10.1365,10.1365,9.7862,,,,0.3503000000000007,1.0357953035907708,Low,1,0,,-0.3687690883494535,-0.9866897870127439,2020-07-01,2023-06-30,1094,2.9952087611225187,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.1957,4.1957,4.5094,284.0,11.0,0.03873239436619718,-0.31369999999999987,0.9304342041069765,Low,1,0,High Volume,-0.7205260732024599,-2.2787830056357365,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Pneumonia,READM-30-PN-HRRP,18.0778,18.0778,16.3256,365.0,73.0,0.2,1.7521999999999984,1.1073283677169599,Elevated,1,0,High Volume,1.0894559900464869,0.7405018163152209,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,COPD,READM-30-COPD-HRRP,19.4171,19.4171,19.6981,154.0,29.0,0.18831168831168832,-0.2809999999999988,0.985734664764622,High,1,0,Medium Volume,0.5222688713133956,1.031792626930252,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,CABG,READM-30-CABG-HRRP,12.5237,12.5237,11.5254,353.0,47.0,0.13314447592067988,0.9983000000000004,1.0866173842122617,Low,1,0,High Volume,1.2480546782362942,-0.4674861559366584,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Acute MI,READM-30-AMI-HRRP,15.6982,15.6982,14.2709,289.0,50.0,0.17301038062283736,1.4273000000000007,1.1000147152597244,Moderate,1,0,High Volume,1.061817217457698,0.22295114586085896,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,9.5878,9.5878,8.5228,,,,1.0649999999999995,1.1249589336837658,Low,1,0,,3.8659049025751426,-1.106029194004805,2020-07-01,2023-06-30,1094,2.9952087611225187,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,Heart Failure,READM-30-HF-HRRP,18.8084,18.8084,19.9019,675.0,123.0,0.18222222222222223,-1.0935000000000024,0.9450554972138338,High,1,0,High Volume,-0.33498651479322805,0.899403530819321,2020-07-01,2023-06-30,1094,2.9952087611225187,
COMMUNITY HOSPITAL INC,010034,AL,Acute MI,READM-30-AMI-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
COMMUNITY HOSPITAL INC,010034,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
COMMUNITY HOSPITAL INC,010034,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
COMMUNITY HOSPITAL INC,010034,AL,Heart Failure,READM-30-HF-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
COMMUNITY HOSPITAL INC,010034,AL,Pneumonia,READM-30-PN-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
COMMUNITY HOSPITAL INC,010034,AL,COPD,READM-30-COPD-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,1
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,CABG,READM-30-CABG-HRRP,,,,,,,,,,0,0,,,,2020-07-01,2023-06-30,1094,2.9952087611225187,5
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,Hip/Knee,READM-30-HIP-KNEE-HRRP,4.5902,4.5902,4.5641,,,,0.026100000000000456,1.0057185425385071,Low,1,0,,-0.38497090546739116,-2.19298129967917,2020-07-01,2023-06-30,1094,2.9952087611225187,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,Heart Failure,READM-30-HF-HRRP,18.7366,18.7366,18.4048,367.0,70.0,0.1907356948228883,0.33179999999999765,1.0180279057637136,High,1,0,High Volume,-0.3716513774478015,0.8837874028404074,2020-07-01,2023-06-30,1094,2.9952087611225187,
